"last_name, first_name","player_id","year","pa","k_percent","bb_percent","batting_avg","on_base_percent","p_era","p_total_stolen_base","p_total_pickoff","p_total_pickoff_attempt","p_total_pickoff_error","xba","woba","xwoba","xobp"
"Fairbanks, Pete","664126","2023","184",37,10.9,".164",".273","2.58","7","0","3","0",".175",".240",".252",".283"
"Gibaut, Ian","664139","2023","318",21.7,8.8,".245",".320","3.33","10","0","36","2",".237",".298",".299",".315"
"Lucchesi, Joey","664192","2023","195",16.4,8.7,".251",".325","2.89","3","0","20","0",".275",".316",".354",".346"
"Clarke, Taylor","664199","2023","266",24.4,9,".303",".371","5.95","0","4","41","1",".251",".376",".344",".330"
"Maton III, Phil","664208","2023","274",27,9.1,".207",".304","3.00","3","0","15","0",".192",".284",".275",".291"
"Valdez, Framber","664285","2023","808",24.8,7.1,".228",".290","3.45","19","1","32","0",".253",".287",".320",".317"
"Moreta, Dauri","664294","2023","239",31.8,10,".187",".276","3.72","6","0","7","0",".188",".267",".270",".278"
"Javier, Cristian","664299","2023","687",23.1,9,".234",".309","4.56","22","3","49","0",".230",".317",".324",".307"
"Urquidy, José","664353","2023","275",16.4,9.1,".263",".335","5.29","13","0","18","0",".259",".340",".332",".332"
"Díaz, Alexis","664747","2023","286",30.1,12.6,".186",".317","3.07","12","0","5","0",".192",".279",".286",".323"
"Helsley, Ryan","664854","2023","146",35.6,11.6,".176",".274","2.45","2","1","2","0",".157",".243",".233",".262"
"Lawrence, Justin","664875","2023","326",23.9,11,".235",".334","3.72","8","0","7","0",".222",".303",".299",".328"
"Kremer, Dean","665152","2023","735",21.4,7.5,".254",".314","4.12","9","1","47","0",".269",".317",".339",".328"
"Medina, Luis","665622","2023","495",21.4,11.5,".255",".352","5.42","7","1","15","1",".252",".343",".335",".352"
"Peguero, Elvis","665625","2023","252",21.4,10.3,".222",".313","3.38","12","0","7","0",".238",".280",".301",".328"
"Cabrera, Edward","665795","2023","434",27.2,15.2,".215",".341","4.24","16","1","34","0",".199",".315",".300",".329"
"Assad, Javier","665871","2023","449",20.9,9.1,".231",".306","3.05","8","2","13","0",".259",".303",".330",".333"
"Garrett, Braxton","666129","2023","659",23.7,4.4,".250",".294","3.66","14","2","38","1",".275",".307",".328",".318"
"Ragans, Cole","666142","2023","392",28.8,10.5,".202",".288","3.47","3","0","11","0",".212",".266",".283",".299"
"Kauffmann, Karl","666154","2023","158",10.1,10.1,".311",".392","8.23","4","0","12","0",".308",".384",".399",".395"
"Lodolo, Nick","666157","2023","166",28.3,6,".340",".406","6.29","1","1","17","0",".242",".426",".336",".319"
"Manning, Matt","666159","2023","316",15.8,6.6,".212",".274","3.58","0","2","15","2",".269",".281",".355",".328"
"Thompson, Mason","666168","2023","240",18.3,9.2,".294",".368","5.50","6","0","0","0",".258",".345",".330",".341"
"Luzardo, Jesús","666200","2023","741",28.1,7.4,".239",".301","3.58","11","4","43","1",".235",".307",".307",".298"
"Manoah, Alek","666201","2023","415",19,14.2,".269",".388","5.87","15","1","39","1",".266",".370",".372",".386"
"Muller, Kyle","666205","2023","372",15.1,10.5,".346",".416","7.60","10","2","32","2",".315",".417",".402",".392"
"Wentz, Joey","666214","2023","492",19.9,9.6,".295",".362","6.90","12","0","11","0",".276",".380",".363",".345"
"Soriano, George","666277","2023","228",22.8,10.1,".234",".326","3.81","0","0","6","0",".250",".308",".326",".341"
"Balazovic, Jordan","666364","2023","108",15.7,11.1,".274",".352","4.44","0","0","2","0",".272",".358",".353",".353"
"Brash, Matt","666374","2023","308",34.7,9.4,".242",".325","3.06","5","0","10","0",".210",".292",".280",".302"
"Santos, Gregory","666619","2023","289",22.8,5.9,".258",".315","3.39","10","0","8","0",".245",".283",".276",".303"
"Brito, Jhony","666745","2023","372",19.4,7.5,".244",".306","4.28","7","1","37","1",".250",".318",".327",".315"
"Doval, Camilo","666808","2023","281",31,9.3,".209",".304","2.93","12","0","8","0",".203",".262",".265",".299"
"Frías, Luis","666818","2023","139",18.7,12.2,".250",".353","4.06","3","1","9","0",".257",".339",".346",".359"
"Cano, Yennier","666974","2023","283",23,4.6,".226",".270","2.11","7","0","4","0",".248",".261",".281",".291"
"King, John","667463","2023","157",12.7,6.4,".310",".353","3.62","2","0","4","0",".286",".327",".324",".331"
"Soriano, José","667755","2023","185",30.3,12.4,".214",".342","3.64","1","0","6","1",".210",".303",".310",".341"
"Nogosek, Stephen","668665","2023","118",21.2,11.9,".280",".373","5.61","2","0","6","0",".253",".382",".360",".352"
"Erceg, Lucas","668674","2023","251",27.1,14.3,".245",".371","4.75","0","0","21","3",".208",".328",".297",".340"
"Plesac, Zach","668676","2023","105",13.3,4.8,".374",".404","7.59","1","1","8","0",".304",".418",".355",".337"
"Gallen, Zac","668678","2023","846",26,5.6,".238",".284","3.47","5","0","99","0",".254",".289",".314",".300"
"Thompson, Zack","668868","2023","287",25.1,8.7,".270",".336","4.48","2","1","10","0",".257",".329",".329",".330"
"Greene, Hunter","668881","2023","498",30.5,9.6,".253",".337","4.82","16","0","47","0",".216",".349",".302",".304"
"Williams, Gavin","668909","2023","345",23.5,10.7,".219",".310","3.29","6","1","11","0",".244",".299",".316",".334"
"Ashcraft, Graham","668933","2023","624",17.8,8.3,".265",".338","4.76","10","0","40","0",".272",".339",".340",".345"
"Romero, JoJo","668941","2023","147",28.6,6.8,".216",".274","3.68","0","0","3","0",".227",".255",".261",".284"
"Hollowell, Gavin","668970","2023","154",20.8,11.7,".238",".357","5.88","4","0","9","0",".249",".360",".354",".367"
"Gore, MacKenzie","669022","2023","582",25.9,9.8,".258",".330","4.42","10","3","47","1",".261",".339",".347",".334"
"Wilson, Bryse","669060","2023","314",19.4,7,".211",".271","2.58","4","0","8","0",".246",".281",".308",".303"
"May, Dustin","669160","2023","187",18.2,8.6,".173",".251","2.63","4","0","4","0",".232",".229",".286",".305"
"Nelson, Ryne","669194","2023","619",15.5,7.4,".284",".334","5.31","2","0","17","0",".269",".357",".349",".325"
"Burnes, Corbin","669203","2023","784",25.5,8.4,".200",".274","3.39","11","1","93","2",".224",".266",".285",".298"
"Akin, Keegan","669211","2023","112",24.1,6.3,".337",".375","6.85","0","1","8","0",".281",".365",".334",".324"
"Morgan, Eli","669212","2023","299",25.1,8,".267",".328","4.01","11","0","22","0",".244",".322",".307",".306"
"Lee, Dylan","669276","2023","101",23.8,7.9,".264",".323","4.18","3","0","3","0",".278",".326",".360",".337"
"Gilbert, Logan","669302","2023","770",24.5,4.7,".233",".270","3.73","14","0","24","0",".243",".290",".297",".280"
"Wells, Tyler","669330","2023","470",24.9,7.2,".193",".257","3.64","2","2","27","0",".217",".286",".307",".280"
